x,y,z,length,id,speed,gas,brake,obsolete_lat_g,radius,side_left,side_right,camber,direction,normal_x,normal_y,normal_z,extra_length,forward_x,forward_y,forward_z,tag,grade
-5.072039604187012,63.957698822021484,-763.4140625,0.0,0,53.24428176879883,1.0,0.0,0.05376206710934639,95587.4921875,2.774998664855957,25.674894332885742,-0.019052106887102127,1.0,-0.019013507291674614,0.9998095631599426,0.004392750561237335,7.729437828063965,0.0,0.0,0.0,0.0,-0.005045032594352961
-5.0533952713012695,63.9495849609375,-761.8048095703125,1.6093907356262207,1,53.38431167602539,1.0,0.0,0.04872258007526398,104883.96875,2.76749849319458,25.932390213012695,-0.018613573163747787,1.0,-0.01852986216545105,0.9998047947883606,0.006871107034385204,7.69490385055542,0.0,0.0,0.0,0.0,-0.005033252760767937
-5.03370475769043,63.94153594970703,-760.2196044921875,3.1947402954101562,2,53.52433776855469,1.0,0.0,0.043683093041181564,114180.4453125,2.7599985599517822,26.18988609313965,-0.018880506977438927,1.0,-0.01881924830377102,0.999808132648468,0.005438403692096472,7.660370349884033,0.0,0.0,0.0,0.0,-0.005036326590925455
-5.0131964683532715,63.933589935302734,-758.6638793945312,4.750626087188721,3,53.66436767578125,1.0,0.0,0.03864360600709915,123476.921875,2.7524986267089844,26.4473819732666,-0.019452502951025963,1.0,-0.019383033737540245,0.9997960925102234,0.005662171635776758,7.6258368492126465,0.0,0.0,0.0,0.0,-0.00504793506115675
-4.992063999176025,63.925750732421875,-757.1389770507812,6.275700569152832,4,53.80439758300781,1.0,0.0,0.03360412269830704,132773.390625,2.7449984550476074,26.704877853393555,-0.01928090490400791,1.0,-0.019231727346777916,0.9998059868812561,0.004258614033460617,7.591302871704102,0.0,0.0,0.0,0.0,-0.0050526754930615425
-4.970461845397949,63.9179801940918,-755.6419067382812,7.772892475128174,5,53.944427490234375,1.0,0.0,0.028564639389514923,142069.875,2.7374985218048096,26.96237564086914,-0.019700363278388977,1.0,-0.01963067427277565,0.9997919201850891,0.005541632883250713,7.556769371032715,0.0,0.0,0.0,0.0,-0.00509071396663785
-4.948495388031006,63.91026306152344,-754.166259765625,9.248674392700195,6,54.08445358276367,1.0,0.0,0.023525148630142212,151366.359375,2.7299985885620117,27.219871520996094,-0.018956774845719337,1.0,-0.018841296434402466,0.9997847676277161,0.008690467104315758,7.522235870361328,0.0,0.0,0.0,0.0,-0.005151728168129921
-4.926236152648926,63.90258026123047,-752.704833984375,10.710301399230957,7,54.224483489990234,1.0,0.0,0.018485665321350098,160662.828125,2.722498655319214,27.477367401123047,-0.019795693457126617,1.0,-0.01970978081226349,0.9997890591621399,0.005780007690191269,7.487702369689941,0.0,0.0,0.0,0.0,-0.005221592728048563
-4.903733730316162,63.8949089050293,-751.25048828125,12.164854049682617,8,54.3645133972168,1.0,0.0,0.013446174561977386,169959.3125,2.714998722076416,27.73486328125,-0.020806171000003815,1.0,-0.020724758505821228,0.9997687935829163,0.005736398044973612,7.453168869018555,0.0,0.0,0.0,0.0,-0.0052915289998054504
-4.881024360656738,63.8871955871582,-749.7977905273438,13.61776351928711,9,54.504539489746094,1.0,0.0,0.00840669870376587,179255.765625,2.707498550415039,27.992359161376953,-0.020329535007476807,1.0,-0.02020886167883873,0.9997732043266296,0.006732695735991001,7.41863489151001,0.0,0.0,0.0,0.0,-0.005353354383260012
-4.8581414222717285,63.87948989868164,-748.3428344726562,15.072935104370117,10,54.644569396972656,1.0,0.0,0.003367209807038307,188552.25,2.699998617172241,28.249855041503906,-0.02074897475540638,1.0,-0.020675569772720337,0.9997714161872864,0.005436845123767853,7.384101390838623,0.0,0.0,0.0,0.0,-0.0053934031166136265
-4.835114002227783,63.871795654296875,-746.884033203125,16.531951904296875,11,54.7598876953125,1.0,0.0,-0.0035469732247292995,304211.125,2.699998617172241,28.249855041503906,-0.020901497453451157,1.0,-0.020822715014219284,0.9997714161872864,0.0048448676243424416,7.425062656402588,0.0,0.0,0.0,0.0,-0.00540320947766304
-4.811970233917236,63.86412048339844,-745.4205932617188,17.995609283447266,12,54.84938049316406,1.0,0.0,-0.0017908294685184956,868199.375,2.699998617172241,28.249855041503906,-0.020558321848511696,1.0,-0.020419137552380562,0.9997542500495911,0.00862802378833294,7.456928253173828,0.0,0.0,0.0,0.0,-0.005386770702898502
-4.78873348236084,63.856510162353516,-743.9526977539062,19.463722229003906,13,54.99473571777344,1.0,0.0,-0.013543892651796341,505362.21875,2.649998664855957,28.249855041503906,-0.021320926025509834,-1.0,-0.021239345893263817,0.9997562766075134,0.006018798798322678,7.481590270996094,0.0,0.0,0.0,0.0,-0.005337401293218136
-4.765424728393555,63.84897232055664,-742.4805908203125,20.935985565185547,14,55.10867691040039,1.0,0.0,-0.0010395864956080914,171194.5,2.649998664855957,28.249855041503906,0.024275777861475945,-1.0,-0.024209314957261086,0.9996993541717529,0.003908686805516481,7.501979351043701,0.0,0.0,0.0,0.0,-0.00525526562705636
-4.74206018447876,63.841529846191406,-741.0048828125,22.411849975585938,15,55.212223052978516,1.0,0.0,0.00501576391980052,94807.015625,2.649998664855957,28.299854278564453,0.023475147783756256,-1.0,-0.023349788039922714,0.9997029900550842,0.006984247826039791,7.51943826675415,0.0,0.0,0.0,0.0,-0.005147689487785101
